Date,Open,High,Low,Close,Adj Close,Volume
2023-12-29,6125.000000,6125.000000,6000.000000,6050.000000,5755.643555,63097100
2024-01-02,6050.000000,6125.000000,6025.000000,6125.000000,5826.994629,26235700
2024-01-03,6100.000000,6150.000000,6050.000000,6100.000000,5803.210938,30053900
2024-01-04,6125.000000,6400.000000,6100.000000,6350.000000,6041.047363,135344500
2024-01-05,6400.000000,6475.000000,6350.000000,6425.000000,6112.398438,114339400
2024-01-08,6500.000000,6600.000000,6375.000000,6400.000000,6088.614746,151018300
2024-01-09,6425.000000,6450.000000,6350.000000,6375.000000,6064.831055,77953400
2024-01-10,6375.000000,6450.000000,6325.000000,6425.000000,6112.398438,50019800
2024-01-11,6425.000000,6500.000000,6400.000000,6450.000000,6136.182129,32120200
2024-01-12,6575.000000,6675.000000,6525.000000,6575.000000,6255.100098,114039700
2024-01-15,6575.000000,6625.000000,6475.000000,6500.000000,6183.749023,83066800
2024-01-16,6525.000000,6625.000000,6500.000000,6525.000000,6207.532715,83516800
2024-01-17,6525.000000,6625.000000,6500.000000,6525.000000,6207.532715,80929000
2024-01-18,6525.000000,6550.000000,6475.000000,6525.000000,6207.532715,78209900
2024-01-19,6500.000000,6525.000000,6425.000000,6525.000000,6207.532715,74814000
2024-01-22,6500.000000,6550.000000,6450.000000,6500.000000,6183.749023,96993100
2024-01-23,6525.000000,6550.000000,6450.000000,6500.000000,6183.749023,77037800
2024-01-24,6450.000000,6475.000000,6350.000000,6400.000000,6088.614746,97290600
2024-01-25,6325.000000,6400.000000,6250.000000,6275.000000,5969.696289,99094100
2024-01-26,6250.000000,6325.000000,6225.000000,6300.000000,5993.479980,77236800
2024-01-29,6350.000000,6475.000000,6275.000000,6475.000000,6159.965820,124753000
2024-01-30,6475.000000,6700.000000,6450.000000,6650.000000,6326.451172,123330900
2024-01-31,6650.000000,6700.000000,6650.000000,6650.000000,6326.451172,128185000
2024-02-01,6575.000000,6625.000000,6500.000000,6550.000000,6231.316406,168145800
2024-02-02,6625.000000,6675.000000,6600.000000,6675.000000,6350.234863,120116200
2024-02-05,6700.000000,6950.000000,6675.000000,6825.000000,6492.936523,150535100
2024-02-06,6825.000000,6925.000000,6775.000000,6850.000000,6516.720215,90146000
2024-02-07,6875.000000,6950.000000,6850.000000,6950.000000,6611.854980,88745500
2024-02-12,7150.000000,7200.000000,7050.000000,7100.000000,6754.556641,162771300
2024-02-13,7100.000000,7125.000000,7025.000000,7025.000000,6683.206055,102668900
2024-02-15,7300.000000,7375.000000,7150.000000,7200.000000,6849.691406,220530000
2024-02-16,7375.000000,7400.000000,7200.000000,7200.000000,6849.691406,142022100
2024-02-19,7150.000000,7325.000000,7125.000000,7150.000000,6802.124023,83753500
2024-02-20,7250.000000,7250.000000,7150.000000,7150.000000,6802.124023,87312000
2024-02-21,7125.000000,7250.000000,7075.000000,7250.000000,6897.258789,128063900
2024-02-22,7175.000000,7200.000000,7100.000000,7100.000000,6754.556641,85735800
2024-02-23,7050.000000,7100.000000,7000.000000,7050.000000,6706.989746,109404700
2024-02-26,6950.000000,7075.000000,6950.000000,7050.000000,6706.989746,65407700
2024-02-27,6975.000000,7100.000000,6975.000000,7075.000000,6730.773438,58066100
2024-02-28,7025.000000,7125.000000,7025.000000,7125.000000,6778.340332,49888400
2024-02-29,7125.000000,7150.000000,7000.000000,7000.000000,6659.422363,150713600
2024-03-01,7050.000000,7075.000000,6975.000000,7025.000000,6683.206055,90739400
2024-03-04,7000.000000,7050.000000,6975.000000,7025.000000,6683.206055,44707200
2024-03-05,7075.000000,7100.000000,7000.000000,7025.000000,6683.206055,92557200
2024-03-06,7000.000000,7100.000000,7000.000000,7075.000000,6730.773438,74178100
2024-03-07,7075.000000,7125.000000,7025.000000,7100.000000,6754.556641,94950400
2024-03-08,7150.000000,7175.000000,7100.000000,7125.000000,6778.340332,109032400
2024-03-13,7250.000000,7275.000000,7150.000000,7275.000000,6921.042480,126022700
2024-03-14,7250.000000,7400.000000,7225.000000,7400.000000,7039.960938,161193000
2024-03-15,7450.000000,7500.000000,7275.000000,7400.000000,7039.960938,250581100
2024-03-18,7425.000000,7425.000000,7175.000000,7175.000000,6825.907715,105778200
2024-03-19,7250.000000,7350.000000,7225.000000,7275.000000,6921.042480,100836600
2024-03-20,7050.000000,7050.000000,7000.000000,7050.000000,7050.000000,83416700
2024-03-21,7100.000000,7200.000000,7050.000000,7050.000000,7050.000000,81774800
2024-03-22,7000.000000,7075.000000,6950.000000,7050.000000,7050.000000,65219900
2024-03-25,7250.000000,7250.000000,7000.000000,7250.000000,7250.000000,78212700
2024-03-26,7225.000000,7225.000000,7125.000000,7175.000000,7175.000000,74274300
2024-03-27,7200.000000,7250.000000,7175.000000,7175.000000,7175.000000,46295700
2024-03-28,7150.000000,7250.000000,7125.000000,7250.000000,7250.000000,90900900
2024-04-01,7250.000000,7250.000000,6750.000000,6900.000000,6900.000000,158358600
2024-04-02,6900.000000,6900.000000,6700.000000,6900.000000,6900.000000,135764900
2024-04-03,6950.000000,6950.000000,6675.000000,6775.000000,6775.000000,115372600
2024-04-04,6750.000000,6925.000000,6750.000000,6875.000000,6875.000000,63174900
2024-04-05,6825.000000,6900.000000,6825.000000,6825.000000,6825.000000,46111500
2024-04-16,6350.000000,6725.000000,6300.000000,6625.000000,6625.000000,180012400
2024-04-17,6700.000000,6775.000000,6625.000000,6625.000000,6625.000000,83840200
2024-04-18,6800.000000,6900.000000,6725.000000,6800.000000,6800.000000,106893900
2024-04-19,6725.000000,6800.000000,6650.000000,6725.000000,6725.000000,47943300
2024-04-22,6875.000000,6875.000000,6575.000000,6725.000000,6725.000000,121727900
2024-04-23,6850.000000,6925.000000,6725.000000,6825.000000,6825.000000,106699200
2024-04-24,6925.000000,7050.000000,6900.000000,7050.000000,7050.000000,117586500
2024-04-25,7050.000000,7075.000000,6925.000000,6950.000000,6950.000000,111803500
2024-04-26,7000.000000,7025.000000,6750.000000,6750.000000,6750.000000,125875000
2024-04-29,6650.000000,6950.000000,6650.000000,6925.000000,6925.000000,77938400
2024-04-30,6800.000000,7050.000000,6775.000000,6900.000000,6900.000000,189991300
